date,load
12/12/2009,8733.19
12/12/2009,8816.97
12/12/2009,8920.63
12/12/2009,8818.39
12/12/2009,8607.78
12/12/2009,8581.57
12/12/2009,8388.19
12/12/2009,8274.73
12/12/2009,8009.22
12/12/2009,7772.18
12/13/2009,7582.24
12/13/2009,7387.08
12/13/2009,7214.25
12/13/2009,6926.14
12/13/2009,6707.73
12/13/2009,6533.65
12/13/2009,6495.83
12/13/2009,6444.54
12/13/2009,6461.28
12/13/2009,6513.97
12/13/2009,6425.06
12/13/2009,6551.21
12/13/2009,6723.71
12/13/2009,6954.93
12/13/2009,7341.51
12/13/2009,7717.57
12/13/2009,8109.11
12/13/2009,8425.99
12/13/2009,8751.94
12/13/2009,8924.97
12/13/2009,9053.6
12/13/2009,9082.04
12/13/2009,9184.15
12/13/2009,9330.86
12/13/2009,9373.02
12/13/2009,9409.32
12/13/2009,9425.07
12/13/2009,9474.59
12/13/2009,9486.29
12/13/2009,9526.1
12/13/2009,9565.89
12/13/2009,9604.3
12/13/2009,9572.58
12/13/2009,9464.36
12/13/2009,9365.42
12/13/2009,9377.16
12/13/2009,9241.5
12/13/2009,9053.61
12/13/2009,8988.22
12/13/2009,9058.44
12/13/2009,9089.6
12/13/2009,8943.82
12/13/2009,8659.86
12/13/2009,8487.22
12/13/2009,8296.12
12/13/2009,8065.78
12/13/2009,7770.93
12/13/2009,7572.33
12/14/2009,7406.26
12/14/2009,7233.77
12/14/2009,7026.2
12/14/2009,6807.11
12/14/2009,6625.43
12/14/2009,6526.29
12/14/2009,6527.92
12/14/2009,6505.3
12/14/2009,6414.72
12/14/2009,6620.56
12/14/2009,7039.31
12/14/2009,7757.71
12/14/2009,8333.74
12/14/2009,8847.43
12/14/2009,9312.21
12/14/2009,9637.25
12/14/2009,9801.12
12/14/2009,10036.87
12/14/2009,10178.69
12/14/2009,10266.45
12/14/2009,10329.93
12/14/2009,10257.49
12/14/2009,10254.77
12/14/2009,10233.54
12/14/2009,10180.6
12/14/2009,10174.18
12/14/2009,10211.07
12/14/2009,10206
12/14/2009,10124.92
12/14/2009,10008.05
12/14/2009,10105.07
12/14/2009,10105.66
12/14/2009,10058
12/14/2009,9996.8
12/14/2009,9953.15
12/14/2009,9697.98
12/14/2009,9587.11
12/14/2009,9429.09
12/14/2009,9285.73
12/14/2009,9351.95
12/14/2009,9303.53
12/14/2009,9064.95
12/14/2009,8754.28
12/14/2009,8744.3
12/14/2009,8559.05
12/14/2009,8373.44
12/14/2009,8237.73
12/14/2009,8042.8
12/15/2009,7826.58
12/15/2009,7591.13
12/15/2009,7405.6
12/15/2009,7090.79
12/15/2009,6855.22
12/15/2009,6647.76
12/15/2009,6615.65
12/15/2009,6593.78
