date,seasonal
3/15/2009,-526.5682848
3/16/2009,-381.2929928
3/17/2009,10.26462666
3/18/2009,106.1050303
3/19/2009,169.2869834
3/20/2009,37.02846091
3/21/2009,-909.5162927
3/22/2009,-804.3515221
3/23/2009,-462.1972856
3/24/2009,-265.8742528
3/25/2009,105.9329575
3/26/2009,220.8709556
3/27/2009,-325.7377841
3/28/2009,-706.3179271
3/29/2009,-727.3026107
3/30/2009,-536.0766744
3/31/2009,-245.6261899
4/1/2009,-247.031772
4/2/2009,-596.3049279
4/3/2009,-579.5177813
4/4/2009,-1033.099739
4/5/2009,-1274.551569
4/6/2009,-764.5608122
4/7/2009,-312.3753232
4/8/2009,-293.6950116
4/9/2009,-396.1360309
4/10/2009,-917.9864303
4/11/2009,-1000.456474
4/12/2009,-1095.653308
4/13/2009,-1011.564542
4/14/2009,-396.1002415
4/15/2009,-305.0817815
4/16/2009,-370.2663209
4/17/2009,-573.2362573
4/18/2009,-862.0690588
4/19/2009,-817.2247324
4/20/2009,-606.3225702
4/21/2009,-266.5225131
4/22/2009,-187.5692462
4/23/2009,-209.2340055
4/24/2009,-510.5783011
4/25/2009,-1239.443093
4/26/2009,-1235.310738
4/27/2009,-618.0124443
4/28/2009,-123.7000332
4/29/2009,97.26163177
4/30/2009,145.255306
5/1/2009,-186.4561053
5/2/2009,-628.3170851
5/3/2009,-589.9794996
5/4/2009,-342.0784707
5/5/2009,-25.09213416
5/6/2009,60.02823116
5/7/2009,-7.462389236
5/8/2009,-202.5953452
5/9/2009,-587.126981
5/10/2009,-594.7146513
5/11/2009,-335.9389947
5/12/2009,124.8629312
5/13/2009,205.2655964
5/14/2009,194.6852518
5/15/2009,-59.25564729
5/16/2009,-427.0892021
5/17/2009,-294.932784
5/18/2009,95.03908533
5/19/2009,312.3422609
5/20/2009,332.1957729
5/21/2009,325.84431
5/22/2009,160.2811733
5/23/2009,-141.5140724
5/24/2009,-252.7195296
5/25/2009,7.840493134
5/26/2009,309.222801
5/27/2009,312.1445064
5/28/2009,315.1361962
5/29/2009,217.5815919
5/30/2009,-67.21237123
5/31/2009,-98.9127988
6/1/2009,202.1309184
6/2/2009,433.1167553
6/3/2009,454.8826213
6/4/2009,469.4897701
6/5/2009,214.1001158
6/6/2009,-15.77137913
6/7/2009,-7.226132756
6/8/2009,-24.00348707
6/9/2009,425.0118379
6/10/2009,906.9816674
6/11/2009,1011.598056
6/12/2009,723.6008891
6/13/2009,420.2409978
6/14/2009,378.0652525
6/15/2009,743.9637362
6/16/2009,938.5299244
6/17/2009,869.7596366
6/18/2009,802.7594904
6/19/2009,539.7163055
6/20/2009,228.9485059
6/21/2009,175.1307426
6/22/2009,413.9613672
6/23/2009,826.0328866
6/24/2009,895.9311014
6/25/2009,831.9156755
6/26/2009,599.7769942
6/27/2009,491.046838
6/28/2009,461.3297628
6/29/2009,707.0673747
6/30/2009,1024.179976
7/1/2009,891.0746895
7/2/2009,1006.321206
7/3/2009,823.8049536
7/4/2009,615.8730265
7/5/2009,501.0255261
7/6/2009,801.1703006
7/7/2009,1172.229121
7/8/2009,1219.873055
7/9/2009,1235.775438
7/10/2009,885.7956617
7/11/2009,468.7405524
7/12/2009,476.8325956
7/13/2009,498.6536697
7/14/2009,688.3953806
7/15/2009,856.8305534
7/16/2009,1006.690287
7/17/2009,756.6247584
7/18/2009,396.7155071
7/19/2009,451.7209682
7/20/2009,716.0746763
7/21/2009,1004.503846
7/22/2009,1049.920821
7/23/2009,1122.771686
7/24/2009,895.477672
7/25/2009,552.2061014
7/26/2009,669.6669198
7/27/2009,853.0200035
7/28/2009,1351.234471
7/29/2009,1197.983878
7/30/2009,951.3927319
