date,seasonal,trend,residual,all_load
2009-11-21,-132.9563506835795,8860.543774364807,821.7876177784492,9549.375041459676
2009-11-22,-90.52669453551471,8860.642068182196,770.4410527073487,9540.556426354031
2009-11-23,-73.81772748038023,8860.742816237314,372.367999934404,9159.293088691338
2009-11-24,-80.68755229482242,8860.846015194327,31.239260448150162,8811.397723347654
2009-11-25,-79.69938545384007,8860.951657596683,276.0914467520488,9057.343718894892
2009-11-26,-144.72398158590636,8861.059732445214,508.62908085548224,9224.96483171479
2009-11-27,-170.68242290042826,8861.170225449581,759.1422172275797,9449.630019776732
2009-11-28,-192.88522558297944,8861.283118848134,614.0072030750907,9282.405096340246
2009-11-29,-245.10162772796133,8861.398391235882,-85.28892330791496,8531.007840200005
2009-11-30,-273.7412815709936,8861.51601777213,336.7034301054882,8924.478166306624
2009-12-01,-332.71288547592457,8861.635970150728,-45.43949956386132,8483.483585110942
2009-12-02,-355.88655662550116,8861.758216183696,-169.21501994730352,8336.656639610892
2009-12-03,-304.0566617961546,8861.88271980077,-99.58943599703707,8458.236622007578
2009-12-04,-206.90449707916034,8862.009441233984,250.90648691191745,8906.011431066741
2009-12-05,-102.0375875173678,8862.138336888176,-230.84240510865857,8529.258344262149
2009-12-06,-24.553851380951635,8862.269358706262,-610.5957544328448,8227.119752892466
2009-12-07,0.6535236008823883,8862.402453033541,973.5539350540221,9836.609911688445
2009-12-08,1.6490397260423524,8862.537560202656,529.6048639242526,9393.791463852951
2009-12-09,-9.29632144731743,8862.674615748369,-237.3072836288211,8616.07101067223
2009-12-10,-22.544359538150903,8862.813551827227,133.34394483917822,8973.613137128254
2009-12-11,-83.45721064458917,8862.954297636737,375.43503985198186,9154.93212684413
2009-12-12,-127.23623797688838,8863.096779796564,76.06094328487416,8811.921485104549
2009-12-13,-135.645780321239,8863.240923017043,-264.70579034901857,8462.889352346785
2009-12-14,-107.5611259154913,8863.386650259234,322.93888113251523,9078.764405476257
2009-12-15,-112.34291270399748,8863.533882284932,227.5660971315574,8978.757066712491
2009-12-16,-139.16500089787382,8863.682536770208,741.6334272382737,9466.150963110607
2009-12-17,-223.90302880768263,8863.832527613162,1431.5435703036128,10071.473069109092
2009-12-18,-260.29604204106994,8863.983765382967,479.7767151916487,9083.464438533547
2009-12-19,-291.6421948967184,8864.136158331343,167.78060424507566,8740.2745676797
2009-12-20,-343.49612011533924,8864.289613437493,-231.71598888104563,8289.077504441108
2009-12-21,-491.9048560224058,8864.444036825413,696.5308923775974,9069.070073180605
2009-12-22,-678.6402813327228,8864.599333453005,867.2247084824721,9053.183760602755
2009-12-23,-788.5468881899891,8864.755405861108,871.3435930255637,8947.552110696683
2009-12-24,-865.992429574473,8864.912152870082,1044.9989609376335,9043.918684233242
2009-12-25,-976.740057685024,8865.069468440619,98.65324097072516,7986.98265172632
2009-12-26,-1084.5285106945596,8865.227240912698,-377.07898861077047,7403.619741607368
2009-12-27,-1175.607582230641,8865.385353074527,-194.30901225248817,7495.468758591398
2009-12-28,-1177.4717387862,8865.543683222055,70.439747157694,7758.511691593549
2009-12-29,-1095.7585188809303,8865.702106673767,110.55009724467527,7880.4936850375125
2009-12-30,-1014.8643089467065,8865.860497369176,-49.40052535467112,7801.595663067798
2009-12-31,-1030.0438154183582,8866.01872885463,-51.880462206154334,7784.094451230117
2010-01-01,-973.0758191700327,8866.17667462554,56.20777947186616,7949.3086349273735
2010-01-02,-817.5966621890117,8866.334207902364,179.827390981789,8228.56493669514
2010-01-03,-627.1977518116184,8866.491201031822,87.75366265090997,8327.047111871114
2010-01-04,-495.0020077757354,8866.647525062453,285.6123190230355,8657.257836309753
2010-01-05,-333.20598374525565,8866.803050584776,-237.16840156024227,8296.428665279278
2010-01-06,-185.00819273636526,8866.957649072394,-501.3208079026281,8180.628648433401
2010-01-07,-20.37731003003753,8867.11119275503,-595.6155636717613,8251.118319053232
2010-01-08,94.74217696222924,8867.263553741524,48.00505760224769,9010.010788306
2010-01-09,267.64249917247383,8867.414603593317,366.36108050623625,9501.418183272028
2010-01-10,309.67270407706786,8867.564213523854,635.4037199281665,9812.640637529088
2010-01-11,346.9174442530983,8867.7122548516,821.209175171698,10035.838874276396
2010-01-12,430.39667693630116,8867.85859877406,460.0017890054987,9758.25706471586
2010-01-13,383.2471181548608,8867.974250929901,-46.7313867485409,9204.489982336221
2010-01-14,270.735087089274,8868.058095697474,-613.7473261981886,8525.045856588558
2010-01-15,162.0079124300111,8868.109035696472,-475.45293763740483,8554.66401048908
2010-01-16,-76.76440639443526,8868.125999716984,-175.87865611456618,8615.482937207982
2010-01-17,-148.66864706587285,8868.107948755956,236.7970660142655,8956.236367704349
2010-01-18,-55.25068076984741,8868.053880658057,524.1617757935455,9336.964975681754
2010-01-19,90.90426847387383,8867.962833538855,-77.94448036694484,8880.922621645785
2010-01-20,293.85453180815136,8867.862754148537,-342.48180332128686,8819.2354826354
2010-01-21,433.6644049736342,8867.753757705823,-119.80857158506842,9181.609591094388
2010-01-22,553.8151851883661,8867.635992262196,258.7920444909505,9680.243221941513
2010-01-23,598.0832337636477,8867.509633431042,-387.5001517222772,9078.092715472412
2010-01-24,652.0212080707628,8867.374879522433,-591.2771960451246,8928.11889154807
2010-01-25,620.0140390162676,8867.231947059532,462.00921439580634,9949.255200471605
2010-01-26,510.7154983931855,8867.08106680506,380.9253574241611,9758.721922622406
2010-01-27,385.1685951635466,8866.922480337515,-120.12580511081433,9131.965270390247
2010-01-28,399.58268603293385,8866.756437096154,-378.17202796330275,8888.167095165785
2010-01-29,461.17397793512725,8866.583191728043,-323.53555636616693,9004.221613297002
2010-01-30,551.775889027488,8866.403001684355,-697.1129738419877,8721.065916869855
2010-01-31,571.8184508988548,8866.216125219687,-315.66373844130976,9122.370837677232
2010-02-01,572.2798725050017,8866.02281977443,292.6389306572273,9730.94162293666
2010-02-02,617.0263668357339,8865.82334053687,-406.01856491654144,9076.831142456063
2010-02-03,636.7473957734627,8865.617939160456,-441.0333109577132,9061.332023976205
2010-02-04,645.632191954377,8865.406862706353,-330.1382160895264,9180.900838571204
2010-02-05,679.5470200017077,8865.190352809908,-417.0511200183755,9127.68625279324
2010-02-06,695.0896709968927,8864.968645040208,-972.1634087712009,8587.8949072659
2010-02-07,690.5678979995242,8864.74196836728,-711.2674845289794,8844.042381837826
2010-02-08,668.9187200615027,8864.510544616869,6.528828601021814,9539.958093279394
2010-02-09,617.665223195765,8864.274587993108,164.3692075050767,9646.30901869395
2010-02-10,519.637194812945,8864.034304680512,231.4179217343608,9615.089421227818
2010-02-11,419.3518768515683,8863.78989250081,472.5832877294979,9755.725057081876
2010-02-12,322.52195575023296,8863.541540635491,612.2525594081035,9798.316055793828
2010-02-13,190.4464137659374,8863.289429441273,125.56664809672293,9179.302491303933
2010-02-14,65.55257707844895,8863.033730392355,320.08416845855936,9248.670475929364
2010-02-15,-61.75334320661259,8862.77460619815,864.6344473675963,9665.655710359135
2010-02-16,-170.76325370505756,8862.512211034384,282.6281967546838,8974.37715408401
2010-02-17,-155.92105611109739,8862.246690857868,68.01925388919881,8774.34488863597
2010-02-18,-99.25012710588109,8861.978183768419,47.01089108436645,8809.738947746904
2010-02-19,-12.876424094379981,8861.706820328407,-44.787972956413796,8804.042423277613
2010-02-20,80.44697521326596,8861.432723839182,-169.56530182537972,8772.314397227068
2010-02-21,118.16264750126864,8861.156010606786,305.84659004817695,9285.165248156232
2010-02-22,157.30298894948672,8860.87679024665,1028.00890536718,10046.188684563316
2010-02-23,150.45675617765136,8860.595166024463,180.6368270257426,9191.688749227857
2010-02-24,139.19477559383125,8860.311235172212,-301.79825150005854,8697.707759265984
2010-02-25,80.1063732077964,8860.025089155633,-158.42737353220218,8781.704088831228
2010-02-26,-99.31608914852825,8859.736813929805,36.67556800174316,8797.09629278302
2010-02-27,-214.99302986911638,8859.446490250457,-4.608921772893154,8639.844538608448
2010-02-28,-255.28997741440375,8859.154194037332,130.67613686647746,8734.540353489405
2010-03-01,-275.9469902188087,8858.859996673005,387.2828164422499,8970.195822896447
2010-03-02,-288.49431044233035,8858.563965237581,-40.40878017470277,8529.660874620547
2010-03-03,-292.7595802476907,8858.266162724958,-225.8302121911729,8339.676370286095
2010-03-04,-310.18291000572816,8857.966648249943,-73.50327735107385,8474.280460893142
2010-03-05,-248.9427356540257,8857.665477256573,168.49902961435146,8777.221771216899
2010-03-06,-204.47434819841047,8857.362701715208,42.32737545299278,8695.215728969792
2010-03-07,-214.47179671606122,8857.058370287461,170.68542149784662,8813.271995069246
2010-03-08,-254.33789876583361,8856.752528492474,681.5452099339236,9283.959839660563
2010-03-09,-278.24406179441087,8856.445218882624,110.94276942553552,8689.143926513749
2010-03-10,-334.17905420600215,8856.136481234798,-178.17650257337118,8343.780924455425
2010-03-11,-378.4240074264913,8855.826352765333,-145.4363374377699,8331.966007901072
2010-03-12,-426.90070632208193,8855.514868344633,-136.58186991665025,8292.032292105901
2010-03-13,-447.402583456635,8855.202060689126,-336.9621391310884,8070.837338101403
