日期,归一化
2018/6/8,0.862022766
2018/6/9,0.842212381
2018/6/10,0.790901746
2018/6/11,0.777657322
2018/6/19,0.938257463
2018/6/20,0.859322745
2018/6/21,0.85102836
2018/6/22,0.82215654
2018/6/24,0.795841558
2018/7/6,0.923826667
2018/7/20,0.90552993
2018/7/21,0.885330906
2018/7/26,0.884870675
2018/8/21,0.85091586
2018/8/22,0.812747374
2018/8/23,0.77971302
2018/8/29,0.9097436
2018/9/5,0.919868681
2018/9/6,0.883203616
2018/9/7,0.818556511
2018/9/8,0.766182231
2018/9/9,0.701156714
2018/9/10,0.690428219
2018/9/11,0.735581988
2018/9/12,0.763206071
2018/9/13,0.788907412
2018/9/14,0.81512012
2018/9/18,0.858821604
2018/9/21,0.873855815
2018/9/22,0.742270677
2018/9/23,0.665483703
2018/9/25,0.760260593
2018/9/26,0.762960614
2018/9/27,0.699346472
2018/9/28,0.69197255
2018/9/29,0.682542929
2018/9/30,0.660748438
2018/10/1,0.682716794
2018/10/2,0.739805885
2018/10/3,0.753837815
2018/10/4,0.81005758
2018/10/5,0.738977469
2018/10/6,0.75134234
2018/10/7,0.714268182
2018/10/10,0.794389274
2018/10/13,0.693435061
2018/10/14,0.679556542
2018/10/16,0.730202399
2018/10/17,0.717029567
2018/10/18,0.71280567
2018/10/19,0.704449922
2018/10/21,0.675864467
2018/10/22,0.668347362
2018/10/23,0.686838418
2018/10/24,0.693250969
2018/10/25,0.701698764
2018/10/26,0.691031633
2018/10/27,0.680753142
2018/10/28,0.651676775
2018/10/29,0.661842765
2018/10/30,0.70035898
2018/10/31,0.695480532
2018/11/1,0.703059002
2018/11/3,0.69788396
2018/11/4,0.671190566
2018/11/22,0.757386706
2018/12/18,0.804677992
2019/1/5,0.77132659
2019/2/2,0.817922415
2019/3/12,0.757591254
2019/3/13,0.730284218
2019/3/23,0.704828334
2019/3/27,0.719034129
2019/3/28,0.691768003
2019/4/1,0.72838193
2019/4/2,0.742076357
2019/4/3,0.706454483
2019/4/4,0.687871381
2019/4/5,0.696012355
2019/4/6,0.6697076
2019/4/7,0.646358551
2019/4/8,0.640048273
2019/4/10,0.683903167
2019/4/11,0.714462501
2019/4/12,0.706710167
2019/4/15,0.687922518
2019/4/16,0.680558823
2019/4/17,0.680405412
